Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value,LandArea,Areaname,Density
2007,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CONECUH,35,26,850.16,"Conecuh, AL",0.030582479
2002,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,CONECUH,35,27,850.16,"Conecuh, AL",0.031758728
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,COOSA,37,79,650.93,"Coosa, AL",0.121364816
2012,ALABAMA,01,WIREGRASS,60,COVINGTON,39,199,1030.46,"Covington, AL",0.193117637
2007,ALABAMA,01,WIREGRASS,60,COVINGTON,39,75,1030.46,"Covington, AL",0.072783029
2002,ALABAMA,01,WIREGRASS,60,COVINGTON,39,56,1030.46,"Covington, AL",0.054344662
2012,ALABAMA,01,WIREGRASS,60,CRENSHAW,41,13,608.84,"Crenshaw, AL",0.021352079
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,219,734.84,"Cullman, AL",0.29802406
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,215,734.84,"Cullman, AL",0.292580698
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,129,734.84,"Cullman, AL",0.175548419
2012,ALABAMA,01,WIREGRASS,60,DALE,45,106,561.15,"Dale, AL",0.188897799
2007,ALABAMA,01,WIREGRASS,60,DALE,45,76,561.15,"Dale, AL",0.135436158
2002,ALABAMA,01,WIREGRASS,60,DALE,45,246,561.15,"Dale, AL",0.438385458
2012,ALABAMA,01,BLACK BELT,40,DALLAS,47,65,978.7,"Dallas, AL",0.066414632
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,379,777.09,"DeKalb, AL",0.487716995
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,643,777.09,"DeKalb, AL",0.827445984
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,693,777.09,"DeKalb, AL",0.891788596
2012,ALABAMA,01,BLACK BELT,40,ELMORE,51,190,618.49,"Elmore, AL",0.307199793
2007,ALABAMA,01,BLACK BELT,40,ELMORE,51,31,618.49,"Elmore, AL",0.050122071
2012,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,77,945.08,"Escambia, AL",0.081474584
2007,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,78,945.08,"Escambia, AL",0.082532696
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,469,534.99,"Etowah, AL",0.8766519
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,193,534.99,"Etowah, AL",0.360754407
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,151,534.99,"Etowah, AL",0.282248266
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,3,627.66,"Fayette, AL",0.004779658
2012,ALABAMA,01,NORTHERN VALLEY,10,FRANKLIN,59,33,633.82,"Franklin, AL",0.052065255
2007,ALABAMA,01,NORTHERN VALLEY,10,FRANKLIN,59,19,633.82,"Franklin, AL",0.029976965
2012,ALABAMA,01,WIREGRASS,60,GENEVA,61,104,574.41,"Geneva, AL",0.181055344
2007,ALABAMA,01,WIREGRASS,60,GENEVA,61,112,574.41,"Geneva, AL",0.194982678
2012,ALABAMA,01,BLACK BELT,40,GREENE,63,14,647.11,"Greene, AL",0.021634653
2012,ALABAMA,01,BLACK BELT,40,HALE,65,10,643.94,"Hale, AL",0.015529397
2012,ALABAMA,01,WIREGRASS,60,HENRY,67,28,561.75,"Henry, AL",0.049844237
2012,ALABAMA,01,WIREGRASS,60,HOUSTON,69,44,579.82,"Houston, AL",0.07588562
2007,ALABAMA,01,WIREGRASS,60,HOUSTON,69,12,579.82,"Houston, AL",0.020696078
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,568,1077.87,"Jackson, AL",0.526965218
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,86,1077.87,"Jackson, AL",0.079786987
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,266,1111.28,"Jefferson, AL",0.239363617
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,311,1111.28,"Jefferson, AL",0.279857462
2002,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,216,1111.28,"Jefferson, AL",0.194370456
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,LAMAR,75,15,604.85,"Lamar, AL",0.024799537
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,LAMAR,75,43,604.85,"Lamar, AL",0.071092006
2002,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,LAMAR,75,85,604.85,"Lamar, AL",0.14053071
2012,ALABAMA,01,NORTHERN VALLEY,10,LAUDERDALE,77,188,667.7,"Lauderdale, AL",0.281563576
2007,ALABAMA,01,NORTHERN VALLEY,10,LAUDERDALE,77,42,667.7,"Lauderdale, AL",0.062902501
2002,ALABAMA,01,NORTHERN VALLEY,10,LAUDERDALE,77,110,667.7,"Lauderdale, AL",0.164744646
2012,ALABAMA,01,NORTHERN VALLEY,10,LAWRENCE,79,77,690.68,"Lawrence, AL",0.111484334
2007,ALABAMA,01,NORTHERN VALLEY,10,LAWRENCE,79,51,690.68,"Lawrence, AL",0.073840273
2002,ALABAMA,01,NORTHERN VALLEY,10,LAWRENCE,79,8,690.68,"Lawrence, AL",0.011582788
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,LEE,81,10,607.54,"Lee, AL",0.016459822
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,LEE,81,81,607.54,"Lee, AL",0.133324555
2012,ALABAMA,01,NORTHERN VALLEY,10,LIMESTONE,83,615,559.94,"Limestone, AL",1.098331964
2007,ALABAMA,01,NORTHERN VALLEY,10,LIMESTONE,83,276,559.94,"Limestone, AL",0.492909955
2002,ALABAMA,01,NORTHERN VALLEY,10,LIMESTONE,83,168,559.94,"Limestone, AL",0.300032146
2002,ALABAMA,01,BLACK BELT,40,LOWNDES,85,2500,715.91,"Lowndes, AL",3.492059058
2012,ALABAMA,01,BLACK BELT,40,MACON,87,22,608.89,"Macon, AL",0.036131321
2012,ALABAMA,01,NORTHERN VALLEY,10,MADISON,89,842,801.59,"Madison, AL",1.050412306
2007,ALABAMA,01,NORTHERN VALLEY,10,MADISON,89,1231,801.59,"Madison, AL",1.535697801
2002,ALABAMA,01,NORTHERN VALLEY,10,MADISON,89,1060,801.59,"Madison, AL",1.322371786
2007,ALABAMA,01,BLACK BELT,40,MARENGO,91,22,976.88,"Marengo, AL",0.022520678
2012,ALABAMA,01,NORTHERN VALLEY,10,MARION,93,41,742.29,"Marion, AL",0.055234477
2007,ALABAMA,01,NORTHERN VALLEY,10,MARION,93,42,742.29,"Marion, AL",0.056581659
2002,ALABAMA,01,NORTHERN VALLEY,10,MARION,93,105,742.29,"Marion, AL",0.141454149
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,69,565.84,"Marshall, AL",0.121942599
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,285,565.84,"Marshall, AL",0.503675951
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,132,565.84,"Marshall, AL",0.233281493
2012,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,MOBILE,97,721,1229.44,"Mobile, AL",0.586445862
2007,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,MOBILE,97,862,1229.44,"Mobile, AL",0.701132223
2002,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,MOBILE,97,4438,1229.44,"Mobile, AL",3.609773555
2012,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,MONROE,99,90,1025.68,"Monroe, AL",0.087746666
2007,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,MONROE,99,132,1025.68,"Monroe, AL",0.12869511
2007,ALABAMA,01,BLACK BELT,40,MONTGOMERY,101,1352,784.25,"Montgomery, AL",1.72394007
2002,ALABAMA,01,BLACK BELT,40,MONTGOMERY,101,2381,784.25,"Montgomery, AL",3.036021677
2012,ALABAMA,01,NORTHERN VALLEY,10,MORGAN,103,122,579.34,"Morgan, AL",0.210584458
2007,ALABAMA,01,NORTHERN VALLEY,10,MORGAN,103,215,579.34,"Morgan, AL",0.371111955
2002,ALABAMA,01,NORTHERN VALLEY,10,MORGAN,103,10,579.34,"Morgan, AL",0.017261021
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,PICKENS,107,113,881.41,"Pickens, AL",0.128203674
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,PICKENS,107,102,881.41,"Pickens, AL",0.11572367
2012,ALABAMA,01,WIREGRASS,60,PIKE,109,10,672.09,"Pike, AL",0.01487896
2007,ALABAMA,01,WIREGRASS,60,PIKE,109,20,672.09,"Pike, AL",0.029757919
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,99,580.55,"Randolph, AL",0.170527948
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,76,580.55,"Randolph, AL",0.130910344
2002,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,9,580.55,"Randolph, AL",0.015502541
2012,ALABAMA,01,WIREGRASS,60,RUSSELL,113,23,641.14,"Russell, AL",0.0358736
2012,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,56,631.9,"St. Clair, AL",0.088621617
2007,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,176,631.9,"St. Clair, AL",0.278525083
2002,ALABAMA,01,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,95,631.9,"St. Clair, AL",0.150340244
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,SHELBY,117,224,784.93,"Shelby, AL",0.285375766
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,SHELBY,117,171,784.93,"Shelby, AL",0.217853821
2002,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,SHELBY,117,81,784.93,"Shelby, AL",0.103193915
2012,ALABAMA,01,BLACK BELT,40,SUMTER,119,46,903.89,"Sumter, AL",0.050891148
2007,ALABAMA,01,BLACK BELT,40,SUMTER,119,23,903.89,"Sumter, AL",0.025445574
2002,ALABAMA,01,BLACK BELT,40,SUMTER,119,6,903.89,"Sumter, AL",0.006637976
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,75,736.78,"Talladega, AL",0.101794294
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,64,736.78,"Talladega, AL",0.086864464
2002,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,135,736.78,"Talladega, AL",0.183229729
2002,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,2399,716.52,"Tallapoosa, AL",3.348127059
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,123,1321.76,"Tuscaloosa, AL",0.093057741
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,41,1321.76,"Tuscaloosa, AL",0.031019247
2012,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,WALKER,127,183,791.19,"Walker, AL",0.23129716
2007,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,WALKER,127,177,791.19,"Walker, AL",0.223713647
2002,ALABAMA,01,UPPER PLAINS & PIEDMONT,30,WALKER,127,22,791.19,"Walker, AL",0.027806216
2007,ALABAMA,01,COASTAL PLAINS & GULF COAST,50,WILCOX,131,62,888.5,"Wilcox, AL",0.069780529
2012,ALABAMA,01,NORTHERN VALLEY,10,WINSTON,133,72,612.98,"Winston, AL",0.117458971
2007,ALABAMA,01,NORTHERN VALLEY,10,WINSTON,133,43,612.98,"Winston, AL",0.070149108
2002,ALABAMA,01,NORTHERN VALLEY,10,WINSTON,133,16,612.98,"Winston, AL",0.026101994
2012,ARIZONA,04,NORTHERN,10,APACHE,1,22,11197.52,"Apache, AZ",0.001964721
2002,ARIZONA,04,NORTHERN,10,APACHE,1,5,11197.52,"Apache, AZ",0.000446527
2012,ARIZONA,04,SOUTHERN,80,COCHISE,3,3615,6165.69,"Cochise, AZ",0.586309075
2007,ARIZONA,04,SOUTHERN,80,COCHISE,3,1421,6165.69,"Cochise, AZ",0.230468934
2002,ARIZONA,04,SOUTHERN,80,COCHISE,3,1201,6165.69,"Cochise, AZ",0.194787607
2012,ARIZONA,04,NORTHERN,10,GILA,7,1603,4757.93,"Gila, AZ",0.33691122
2012,ARIZONA,04,SOUTHERN,80,GRAHAM,9,800,4622.6,"Graham, AZ",0.173062779
2012,ARIZONA,04,SOUTHERN,80,MARICOPA,13,23212,9200.14,"Maricopa, AZ",2.523005085
2007,ARIZONA,04,SOUTHERN,80,MARICOPA,13,17552,9200.14,"Maricopa, AZ",1.907797055
2002,ARIZONA,04,SOUTHERN,80,MARICOPA,13,16223,9200.14,"Maricopa, AZ",1.763342732
2012,ARIZONA,04,NORTHERN,10,MOHAVE,15,7,13311.08,"Mohave, AZ",0.000525878
2002,ARIZONA,04,NORTHERN,10,MOHAVE,15,25,13311.08,"Mohave, AZ",0.001878135
2012,ARIZONA,04,NORTHERN,10,NAVAJO,17,512,9950.42,"Navajo, AZ",0.051455114
2012,ARIZONA,04,SOUTHERN,80,PIMA,19,8872,9187.04,"Pima, AZ",0.965708215
2007,ARIZONA,04,SOUTHERN,80,PIMA,19,1990,9187.04,"Pima, AZ",0.216609485
2002,ARIZONA,04,SOUTHERN,80,PIMA,19,3341,9187.04,"Pima, AZ",0.363664466
2012,ARIZONA,04,SOUTHERN,80,PINAL,21,4065,5365.61,"Pinal, AZ",0.757602584
2007,ARIZONA,04,SOUTHERN,80,PINAL,21,3234,5365.61,"Pinal, AZ",0.602727369
2002,ARIZONA,04,SOUTHERN,80,PINAL,21,754,5365.61,"Pinal, AZ",0.140524563
2012,ARIZONA,04,SOUTHERN,80,SANTA CRUZ,23,9,1236.92,"Santa Cruz, AZ",0.007276138
2007,ARIZONA,04,NORTHERN,10,YAVAPAI,25,266,8123.5,"Yavapai, AZ",0.032744507
2002,ARIZONA,04,NORTHERN,10,YAVAPAI,25,245,8123.5,"Yavapai, AZ",0.030159414
2012,ARIZONA,04,SOUTHERN,80,YUMA,27,7881,5513.99,"Yuma, AZ",1.429273539
2007,ARIZONA,04,SOUTHERN,80,YUMA,27,10062,5513.99,"Yuma, AZ",1.824812885
2002,ARIZONA,04,SOUTHERN,80,YUMA,27,14833,5513.99,"Yuma, AZ",2.69006654
2007,ARKANSAS,05,SOUTHEAST,90,ASHLEY,3,17,925.35,"Ashley, AR",0.018371427
2012,ARKANSAS,05,NORTH CENTRAL,20,BAXTER,5,117,554.28,"Baxter, AR",0.21108465
2007,ARKANSAS,05,NORTH CENTRAL,20,BAXTER,5,383,554.28,"Baxter, AR",0.690986505
2002,ARKANSAS,05,NORTH CENTRAL,20,BAXTER,5,304,554.28,"Baxter, AR",0.548459262
2012,ARKANSAS,05,NORTHWEST,10,BENTON,7,155,847.36,"Benton, AR",0.182921073
2007,ARKANSAS,05,NORTHWEST,10,BENTON,7,177,847.36,"Benton, AR",0.208884063
2002,ARKANSAS,05,NORTHWEST,10,BENTON,7,277,847.36,"Benton, AR",0.326897659
2012,ARKANSAS,05,NORTHWEST,10,BOONE,9,148,590.23,"Boone, AR",0.250749708
2007,ARKANSAS,05,NORTHWEST,10,BOONE,9,528,590.23,"Boone, AR",0.894566525
2002,ARKANSAS,05,NORTHWEST,10,BOONE,9,366,590.23,"Boone, AR",0.62009725
2002,ARKANSAS,05,SOUTH CENTRAL,80,BRADLEY,11,12,649.23,"Bradley, AR",0.018483434
2007,ARKANSAS,05,SOUTH CENTRAL,80,CALHOUN,13,4,628.58,"Calhoun, AR",0.00636355
2012,ARKANSAS,05,NORTHWEST,10,CARROLL,15,110,630.09,"Carroll, AR",0.174578235
2007,ARKANSAS,05,NORTHWEST,10,CARROLL,15,40,630.09,"Carroll, AR",0.063482994
2002,ARKANSAS,05,NORTHWEST,10,CARROLL,15,103,630.09,"Carroll, AR",0.163468711
2012,ARKANSAS,05,SOUTH CENTRAL,80,CLARK,19,39,866.07,"Clark, AR",0.045031002
2002,ARKANSAS,05,SOUTH CENTRAL,80,CLARK,19,41,866.07,"Clark, AR",0.047340284
2012,ARKANSAS,05,NORTHEAST,30,CLAY,21,50,639.47,"Clay, AR",0.078189751
2007,ARKANSAS,05,NORTHEAST,30,CLAY,21,29,639.47,"Clay, AR",0.045350056
2002,ARKANSAS,05,NORTHEAST,30,CLAY,21,180,639.47,"Clay, AR",0.281483103
2007,ARKANSAS,05,NORTH CENTRAL,20,CLEBURNE,23,48,553.69,"Cleburne, AR",0.086691109
2002,ARKANSAS,05,NORTH CENTRAL,20,CLEBURNE,23,47,553.69,"Cleburne, AR",0.084885044
2012,ARKANSAS,05,SOUTH CENTRAL,80,COLUMBIA,27,3,766.05,"Columbia, AR",0.003916193
2012,ARKANSAS,05,CENTRAL,50,CONWAY,29,37,552.25,"Conway, AR",0.066998642
2007,ARKANSAS,05,CENTRAL,50,CONWAY,29,36,552.25,"Conway, AR",0.065187868
2002,ARKANSAS,05,CENTRAL,50,CONWAY,29,163,552.25,"Conway, AR",0.295156179
2007,ARKANSAS,05,NORTHEAST,30,CRAIGHEAD,31,9773,707.21,"Craighead, AR",13.81909192
2002,ARKANSAS,05,NORTHEAST,30,CRAIGHEAD,31,14467,707.21,"Craighead, AR",20.45644151
2012,ARKANSAS,05,WEST CENTRAL,40,CRAWFORD,33,51,593.09,"Crawford, AR",0.085990322
2007,ARKANSAS,05,WEST CENTRAL,40,CRAWFORD,33,140,593.09,"Crawford, AR",0.236051864
2002,ARKANSAS,05,WEST CENTRAL,40,CRAWFORD,33,88,593.09,"Crawford, AR",0.148375457
2007,ARKANSAS,05,EAST CENTRAL,60,CROSS,37,160,616.38,"Cross, AR",0.259580129
2002,ARKANSAS,05,EAST CENTRAL,60,CROSS,37,1100,616.38,"Cross, AR",1.784613388
2002,ARKANSAS,05,SOUTHEAST,90,DESHA,41,877,768.15,"Desha, AR",1.141704094
2012,ARKANSAS,05,SOUTHEAST,90,DREW,43,19,828.36,"Drew, AR",0.022936887
2002,ARKANSAS,05,SOUTHEAST,90,DREW,43,18,828.36,"Drew, AR",0.021729683
2012,ARKANSAS,05,CENTRAL,50,FAULKNER,45,236,647.88,"Faulkner, AR",0.364264987
2007,ARKANSAS,05,CENTRAL,50,FAULKNER,45,133,647.88,"Faulkner, AR",0.205284929
2002,ARKANSAS,05,CENTRAL,50,FAULKNER,45,145,647.88,"Faulkner, AR",0.223806878
2012,ARKANSAS,05,WEST CENTRAL,40,FRANKLIN,47,72,608.86,"Franklin, AR",0.118253786
2007,ARKANSAS,05,WEST CENTRAL,40,FRANKLIN,47,23,608.86,"Franklin, AR",0.037775515
2002,ARKANSAS,05,WEST CENTRAL,40,FRANKLIN,47,151,608.86,"Franklin, AR",0.248004467
2012,ARKANSAS,05,NORTH CENTRAL,20,FULTON,49,19,618.19,"Fulton, AR",0.030734887
2007,ARKANSAS,05,NORTH CENTRAL,20,FULTON,49,27,618.19,"Fulton, AR",0.043675893
2002,ARKANSAS,05,NORTH CENTRAL,20,FULTON,49,15,618.19,"Fulton, AR",0.024264385
2012,ARKANSAS,05,CENTRAL,50,GARLAND,51,22,677.78,"Garland, AR",0.03245891
2007,ARKANSAS,05,CENTRAL,50,GARLAND,51,191,677.78,"Garland, AR",0.281802355
2002,ARKANSAS,05,CENTRAL,50,GARLAND,51,58,677.78,"Garland, AR",0.08557349
2007,ARKANSAS,05,CENTRAL,50,GRANT,53,68,631.81,"Grant, AR",0.107627293
2002,ARKANSAS,05,CENTRAL,50,GRANT,53,152,631.81,"Grant, AR",0.240578655
2002,ARKANSAS,05,NORTHEAST,30,GREENE,55,359,577.7,"Greene, AR",0.621429808
2012,ARKANSAS,05,SOUTHWEST,70,HEMPSTEAD,57,23,727.52,"Hempstead, AR",0.031614251
2007,ARKANSAS,05,SOUTHWEST,70,HEMPSTEAD,57,43,727.52,"Hempstead, AR",0.059104904
2012,ARKANSAS,05,CENTRAL,50,HOT SPRING,59,60,615.2,"Hot Spring, AR",0.097529259
2007,ARKANSAS,05,CENTRAL,50,HOT SPRING,59,208,615.2,"Hot Spring, AR",0.33810143
2002,ARKANSAS,05,CENTRAL,50,HOT SPRING,59,22,615.2,"Hot Spring, AR",0.035760728
2012,ARKANSAS,05,SOUTHWEST,70,HOWARD,61,16,588.55,"Howard, AR",0.027185456
2007,ARKANSAS,05,NORTHEAST,30,INDEPENDENCE,63,659,763.95,"Independence, AR",0.862621899
2002,ARKANSAS,05,NORTHEAST,30,INDEPENDENCE,63,274,763.95,"Independence, AR",0.358662216
2012,ARKANSAS,05,NORTH CENTRAL,20,IZARD,65,19,580.58,"Izard, AR",0.032725895
2002,ARKANSAS,05,NORTH CENTRAL,20,IZARD,65,31,580.58,"Izard, AR",0.053394881
2007,ARKANSAS,05,NORTHEAST,30,JACKSON,67,77,633.94,"Jackson, AR",0.121462599
2007,ARKANSAS,05,SOUTHEAST,90,JEFFERSON,69,225,870.75,"Jefferson, AR",0.258397933
2002,ARKANSAS,05,SOUTHEAST,90,JEFFERSON,69,348,870.75,"Jefferson, AR",0.399655469
2012,ARKANSAS,05,WEST CENTRAL,40,JOHNSON,71,26,659.8,"Johnson, AR",0.039405881
2007,ARKANSAS,05,WEST CENTRAL,40,JOHNSON,71,9,659.8,"Johnson, AR",0.013640497
2002,ARKANSAS,05,WEST CENTRAL,40,JOHNSON,71,124,659.8,"Johnson, AR",0.187935738
2012,ARKANSAS,05,NORTHEAST,30,LAWRENCE,75,16,587.61,"Lawrence, AR",0.027228944
2002,ARKANSAS,05,NORTHEAST,30,LAWRENCE,75,230,587.61,"Lawrence, AR",0.391416075
2007,ARKANSAS,05,EAST CENTRAL,60,LEE,77,3,602.62,"Lee, AR",0.004978262
2007,ARKANSAS,05,SOUTHEAST,90,LINCOLN,79,60,561.52,"Lincoln, AR",0.106852828
2012,ARKANSAS,05,SOUTHWEST,70,LITTLE RIVER,81,46,532.25,"Little River, AR",0.086425552
2007,ARKANSAS,05,SOUTHWEST,70,LITTLE RIVER,81,38,532.25,"Little River, AR",0.071395021
2012,ARKANSAS,05,WEST CENTRAL,40,LOGAN,83,36,708.13,"Logan, AR",0.050838123
2007,ARKANSAS,05,WEST CENTRAL,40,LOGAN,83,68,708.13,"Logan, AR",0.096027566
2002,ARKANSAS,05,WEST CENTRAL,40,LOGAN,83,52,708.13,"Logan, AR",0.073432844
2012,ARKANSAS,05,EAST CENTRAL,60,LONOKE,85,36,770.73,"Lonoke, AR",0.046708964
2007,ARKANSAS,05,EAST CENTRAL,60,LONOKE,85,150,770.73,"Lonoke, AR",0.194620684
2002,ARKANSAS,05,EAST CENTRAL,60,LONOKE,85,512,770.73,"Lonoke, AR",0.664305269
2012,ARKANSAS,05,NORTHWEST,10,MADISON,87,99,834.26,"Madison, AR",0.118668041
2007,ARKANSAS,05,NORTHWEST,10,MADISON,87,120,834.26,"Madison, AR",0.14384005
